FSC,SSC,CD16 AF488,CD14-PE,CD42a-PerCP,CCR2-APC
800,544,801,545,801,289
514,771,516,772,515,771
771,514,514,801,33,260
259,770,514,33,801,259
259,514,545,33,801,515
259,258,258,33,33,3
771,514,514,801,33,515
1,1,260,289,2,514
544,32,33,289,33,258
800,32,545,801,801,2
800,32,289,33,33,515
32,544,801,289,545,2
800,32,33,801,801,771
514,258,33,801,289,258
32,1,289,289,545,770
288,513,514,801,801,515
515,770,33,289,33,516
3,770,2,2,545,259
259,2,258,2,289,771
770,2,2,545,289,258
32,800,545,33,289,771
3,258,258,801,33,771
771,258,258,33,289,771
515,514,514,289,545,515
515,770,33,33,801,259
259,258,545,801,545,2
32,32,289,33,545,771
258,2,289,33,33,3
515,770,801,289,545,259
257,513,772,258,771,770
32,800,514,289,289,258
800,544,801,545,33,771
771,769,258,770,545,2
32,544,289,289,545,514
32,1,801,801,545,2
288,288,289,801,33,515
770,770,289,801,33,259
258,258,514,289,545,770
800,257,289,33,545,771
2,258,545,770,801,259
513,513,260,33,770,515
3,770,289,289,289,515
769,257,260,289,515,515
3,770,258,289,289,259
258,514,801,545,33,259
515,514,2,289,545,771
771,770,2,289,289,515
3,257,770,2,33,770
288,32,258,33,33,801
2,515,772,260,3,771
32,800,516,545,2,514
800,544,289,33,545,33
257,259,772,516,259,770
544,544,33,545,545,258
32,257,770,33,289,2
288,32,289,801,545,3
259,769,770,258,289,259
2,2,289,801,33,515
259,258,801,289,801,3
771,258,801,801,545,33
770,3,516,772,515,771
3,2,33,289,545,260
771,770,514,289,545,3
513,257,516,33,771,801
770,259,260,260,3,772
3,514,2,801,801,3
259,2,258,33,545,772
3,770,2,801,33,258
288,800,801,33,33,259
544,257,4,33,3,516
3,770,545,289,545,3
769,257,772,258,258,515
3,258,514,801,801,3
3,258,801,514,289,771
1,769,260,33,258,515
770,2,258,545,545,515
515,770,289,2,545,771
259,514,770,33,33,289
769,258,772,260,771,771
515,2,289,545,33,259
3,2,258,289,801,3
800,288,289,514,289,259
515,514,545,545,33,770
288,544,2,289,33,260
770,2,33,289,33,3
513,1,516,545,258,3
259,2,33,33,545,259
259,258,2,545,33,545
514,259,772,772,3,770
544,544,545,33,545,771
2,514,33,801,545,259
1,257,516,545,515,801
513,3,516,260,259,801
1,514,4,4,771,771
3,258,289,33,545,258
288,513,260,258,771,771
514,2,514,801,33,771
770,770,289,33,289,259
2,258,514,801,289,259
770,514,801,545,33,771
257,257,772,2,3,770
800,257,2,801,801,258
544,1,801,33,289,514
288,288,514,289,545,514
288,288,545,289,33,259
771,258,2,801,545,33
2,259,4,4,515,771
259,258,770,770,289,3
2,258,545,801,33,515
515,2,545,33,33,514
515,770,1,769,288,544
257,515,259,515,2,770
259,770,32,32,544,1
800,32,800,800,800,2
259,257,513,32,800,770
515,258,288,544,544,257
800,32,257,800,800,770
770,770,257,32,32,2
258,2,800,32,288,259
259,2,257,1,800,514
3,2,288,32,800,514
515,258,32,32,288,513
800,769,769,800,544,514
515,2,513,544,800,514
771,514,32,1,32,258
515,2,544,32,800,770
2,258,544,544,544,1
32,32,800,513,32,770
770,770,257,544,544,514
3,770,769,32,800,2
514,514,288,544,32,1
32,2,800,544,288,513
288,769,1,32,32,769
32,288,288,800,800,2
258,2,769,288,288,513
288,544,513,544,32,258
3,257,257,513,544,258
257,257,3,544,770,257
544,800,544,32,288,258
515,2,288,288,544,258
771,514,769,32,800,2
771,770,544,800,800,514
514,770,769,288,288,769
288,32,288,288,544,544
769,259,3,259,770,769
800,288,800,800,288,258
515,258,513,288,544,2
770,514,257,288,32,770
771,770,513,288,32,770
258,770,800,800,32,258
3,514,544,32,32,32
769,515,771,771,258,770
259,2,800,800,800,770
259,770,513,32,800,514
771,770,800,32,32,2
259,514,513,769,32,257
544,800,32,32,800,32
257,771,3,3,258,769
288,288,257,1,544,514
259,770,800,800,288,544
258,515,3,771,770,770
259,514,544,513,544,544
769,258,515,771,514,800
257,771,3,3,258,769
32,257,257,770,544,288
257,259,3,3,514,769
544,1,1,288,800,514
515,258,32,769,544,514
3,2,544,800,800,514
514,2,544,544,544,2
513,1,259,288,1,32
1,259,3,259,514,770
514,2,288,288,544,288
513,2,771,515,258,770
288,257,771,769,3,259
259,770,1,800,544,2
515,2,513,544,288,514
3,514,288,32,32,513
544,769,32,800,544,770
3,514,769,800,32,514
513,1,3,544,513,770
3,514,32,544,544,3
515,770,544,288,288,514
771,2,800,288,800,2
515,770,257,257,544,1
544,544,769,544,544,770
771,770,544,800,32,770
514,514,513,544,32,514
2,514,1,513,800,259
259,769,1,800,544,514
3,514,769,288,800,771
3,2,32,288,544,514
3,770,769,288,288,514
514,770,800,800,800,770
32,513,515,288,3,258
259,258,257,1,32,770
3,514,769,1,544,258
1,257,259,544,514,32
513,514,771,515,770,770
514,2,544,544,544,1
544,257,288,513,32,2
258,258,257,544,32,770
2,514,257,800,32,257
544,288,288,32,544,258
770,258,288,32,544,2
514,258,544,800,544,2
259,2,32,32,288,770
3,2,1,544,288,2
259,258,544,288,32,258
257,257,259,32,1,32
1,514,515,3,770,771
771,770,288,769,288,2
515,769,769,513,288,770
771,770,800,32,544,513
288,32,257,288,32,770
2,258,32,544,32,770
771,770,544,800,800,2
771,1,769,257,800,258
1,257,771,32,2,257
32,513,800,32,544,514
257,257,3,800,771,770
771,1,257,769,32,258
288,32,1,800,544,2
769,257,3,32,769,258
3,2,32,800,288,258
288,2,514,32,800,770
2,258,32,32,32,769
288,288,769,544,544,770
771,770,257,800,800,2
514,258,544,800,32,2
544,1,771,288,1,770
515,770,1,288,288,769
288,1,288,2,32,514
513,1,259,800,258,258
259,770,800,32,32,514
771,258,257,32,800,770
515,770,800,800,32,770
770,2,769,288,32,515
259,2,258,545,545,771
259,770,514,2,545,4
515,770,545,801,33,3
2,770,258,801,289,515
259,770,289,801,289,516
259,769,258,770,545,2
32,544,801,33,33,289
1,544,289,258,289,515
259,770,2,545,33,770
288,513,2,289,33,545
2,771,4,516,771,801
257,515,4,772,3,801
769,3,516,516,3,770
288,32,289,545,801,771
3,2,289,33,545,771
259,770,289,289,545,515
515,770,258,545,801,515
515,258,545,33,33,771
515,770,33,33,289,2
288,544,545,259,289,514
770,2,801,289,33,771
3,2,801,2,545,514
32,544,545,289,289,515
3,770,770,33,33,289
513,771,260,260,3,770
32,544,801,801,545,771
515,770,258,545,801,4
259,258,33,33,33,259
257,544,516,33,2,259
515,770,2,289,801,771
771,2,289,801,289,258
32,32,33,801,33,259
771,770,801,545,545,2
32,800,801,545,289,259
515,769,514,514,33,3
259,258,545,801,801,3
3,258,514,801,545,771
257,257,772,545,516,515
259,258,515,33,801,259
515,514,514,33,289,770
288,32,770,514,801,3
770,2,33,33,289,771
514,258,545,801,801,514
544,800,545,545,801,3
514,2,33,801,289,4
259,770,258,770,289,770
32,800,545,33,33,771
3,770,770,545,545,33
1,259,260,772,771,771
513,1,4,33,515,3
259,2,289,514,545,259
3,770,514,545,33,3
258,2,801,545,801,3
515,2,514,258,545,260
771,770,801,33,801,771
515,770,33,289,545,3
288,1,260,801,771,259
3,258,289,545,33,770
32,769,33,801,289,515
259,2,289,33,801,259
259,258,258,801,33,770
1,514,771,3,33,259
514,770,33,33,545,259
2,258,801,289,289,516
259,258,2,289,545,259
770,258,33,289,33,515
771,770,289,33,289,545
1,544,801,33,545,259
515,770,545,289,33,771
515,770,289,289,545,771
515,770,289,289,545,3
259,770,514,801,33,289
2,2,516,772,259,801
2,258,772,260,3,771
259,2,801,2,33,545
258,259,4,260,515,772
259,770,258,801,801,2
288,1,289,258,545,3
3,258,2,545,33,3
3,770,2,545,289,514
544,800,770,3,545,258
288,770,545,801,33,258
288,288,801,289,289,771
3,770,514,545,289,2
288,544,545,801,801,514
544,288,770,33,545,771
770,258,289,289,33,514
544,544,258,545,33,515
771,770,289,33,33,515
513,544,772,801,515,259
259,770,801,33,801,259
513,769,772,289,3,515
771,514,770,801,545,4
515,770,258,801,33,771
771,2,545,545,33,2
32,513,801,801,545,770
800,769,514,801,33,771
513,769,260,33,260,259
771,770,770,545,545,772
515,770,514,545,33,514
544,257,258,545,33,770
544,32,545,2,289,259
513,769,260,33,3,771
1,769,516,2,259,3
259,258,770,545,801,259
771,514,2,289,33,259
259,770,258,289,545,515
257,769,4,801,770,514
800,800,258,545,545,259
3,258,33,33,545,2
32,32,545,33,545,771
771,514,545,33,801,545
257,259,260,4,259,771
769,257,4,258,772,515
3,770,258,545,545,515
3,770,289,545,289,259
259,2,545,545,289,2
544,32,33,801,545,3
771,770,258,545,33,33
1,3,516,4,515,771
3,2,545,545,33,771
259,770,545,289,801,259
515,257,545,2,545,516
3,770,801,545,545,3
2,770,289,289,33,259
771,258,2,801,33,33
769,515,516,260,515,770
800,32,33,771,289,258
544,800,32,544,288,288
2,770,771,515,258,769
32,769,32,32,288,769
288,544,544,544,544,770
259,514,800,544,800,770
515,770,288,288,288,258
771,258,1,288,288,258
771,258,32,32,544,514
771,514,513,544,288,514
515,770,544,288,32,513
32,513,257,288,288,770
3,770,544,800,800,800
514,2,515,515,770,769
32,544,257,544,32,544
1,771,3,771,770,771
771,770,513,800,800,513
288,32,32,544,288,259
259,1,257,513,32,514
515,2,32,1,544,3
515,770,288,800,288,258
259,770,257,769,288,257
288,800,32,513,800,514
257,32,771,288,258,288
1,258,771,259,770,770
259,769,513,1,288,258
259,770,32,544,544,513
288,800,32,288,32,514
3,770,513,544,800,800
2,2,3,3,514,769
288,32,800,544,32,514
515,514,288,544,800,258
259,770,288,800,800,32
257,259,515,259,770,770
771,770,513,800,288,2
2,258,1,32,32,258
3,514,544,32,544,288
513,3,3,259,770,770
258,2,32,544,288,514
515,258,288,257,544,514
515,514,32,513,544,770
2,514,800,800,288,2
771,258,800,32,288,257
288,288,800,800,800,2
3,770,1,257,32,2
770,514,544,800,32,514
770,514,800,800,32,800
769,3,259,3,258,769
544,769,513,288,32,1
32,1,544,32,32,258
1,769,771,513,514,513
544,513,544,800,800,769
32,544,769,544,32,770
3,770,800,32,32,32
513,515,3,259,258,769
800,800,544,544,288,2
3,258,1,544,288,258
3,770,32,288,288,258
3,770,544,544,800,258
259,770,769,32,32,257
800,32,1,513,800,2
771,2,288,257,288,2
515,770,769,1,800,770
258,514,800,544,288,2
769,257,3,800,513,544
770,259,259,515,770,770
3,257,257,1,288,800
513,257,288,1,288,2
3,769,513,1,544,769
544,800,544,32,800,2
514,770,288,288,32,288
514,259,771,259,514,770
258,258,544,288,288,514
2,514,1,32,800,770
515,770,257,800,800,513
288,513,1,32,800,257
544,770,544,800,288,258
2,514,800,544,544,770
259,770,769,32,32,770
258,258,800,800,32,2
515,770,544,32,288,770
544,769,770,800,544,514
770,514,800,288,544,770
3,258,1,257,544,769
288,257,544,288,32,770
259,2,32,288,32,2
770,770,257,544,288,258
259,514,544,288,32,2
770,2,544,544,288,770
515,770,513,288,544,770
259,770,32,513,32,258
514,258,800,288,32,514
3,258,513,544,288,770
771,770,32,288,800,258
771,514,800,513,288,3
515,2,800,32,800,513
544,288,257,288,544,514
515,258,1,32,800,258
259,770,544,32,32,2
771,514,1,288,288,257
288,257,1,544,800,800
1,515,259,3,770,800
513,515,259,259,514,770
514,2,513,800,32,514
515,258,288,32,544,770
514,258,769,257,32,514
513,769,771,800,769,514
771,514,288,800,288,1
288,513,257,769,544,770
514,258,288,544,544,258
3,514,769,800,544,769
32,544,544,544,288,2
770,770,800,32,288,32
1,514,771,3,2,769
544,544,800,800,32,770
259,2,288,1,32,3
3,514,513,800,544,769
800,288,288,513,800,514
258,514,257,544,800,514
514,770,288,32,800,259
3,770,800,32,288,257
800,257,32,288,544,1
544,544,32,544,800,2
514,2,544,544,544,770
515,258,769,544,544,258
2,514,257,544,288,288
2,515,771,515,258,770
515,2,513,32,32,257
800,1,513,32,800,3
3,770,33,801,289,3
3,770,33,33,289,771
2,2,514,545,801,2
288,800,289,514,33,3
258,2,545,33,801,259
259,2,258,801,801,3
770,2,289,289,801,515
770,2,545,289,801,514
544,544,514,545,545,259
515,258,514,801,33,771
3,769,258,514,545,2
288,32,33,801,545,33
514,3,260,4,515,771
2,514,289,545,801,33
769,258,260,516,771,771
3,770,289,33,289,771
3,770,770,33,33,771
515,2,33,545,33,770
544,544,514,289,801,514
32,544,801,289,545,515
259,514,545,258,801,259
770,514,2,2,545,515
3,514,289,545,289,2
288,800,801,289,289,545
515,1,801,258,545,514
32,288,33,801,801,289
513,258,260,4,259,770
544,800,289,545,289,770
800,32,289,33,545,259
515,258,33,545,801,771
515,770,545,33,289,33
3,32,545,33,33,258
288,544,289,289,33,3
515,770,770,801,33,515
770,770,545,545,545,259
513,1,772,289,515,259
2,258,33,545,33,33
2,515,260,772,259,771
3,2,545,545,545,771
259,770,33,289,33,515
259,2,545,801,801,258
800,800,289,3,33,515
771,770,801,801,33,3
515,258,33,801,289,771
2,2,289,33,801,770
32,800,801,801,801,259
769,769,772,514,771,3
770,514,289,33,545,2
288,288,801,545,545,515
259,770,258,545,33,260
3,770,801,545,545,770
32,800,289,545,545,515
771,514,801,289,801,516
771,514,545,2,289,771
800,513,260,289,515,3
771,2,545,514,289,771
770,2,545,33,289,770
32,800,801,545,289,770
800,257,33,801,33,515
770,770,2,801,801,259
770,258,801,33,33,515
259,770,289,289,801,801
513,3,4,772,515,772
800,2,515,801,33,259
770,2,545,289,33,3
2,258,33,545,289,2
800,1,545,770,801,772
3,514,33,545,801,514
288,544,33,33,33,770
800,32,545,258,289,2
800,257,801,545,545,2
32,800,33,801,801,771
257,257,516,289,259,771
258,2,770,801,33,771
515,769,258,514,801,3
2,2,514,801,801,771
515,769,770,514,33,3
2,514,770,801,545,33
514,259,260,4,259,771
771,258,545,3,545,2
32,32,33,33,289,515
3,769,770,2,289,771
544,1,772,289,3,770
800,32,2,33,545,770
800,800,545,289,545,258
32,32,289,545,289,801
513,2,516,4,515,771
3,258,2,258,33,801
514,2,260,260,515,771
514,514,545,289,33,545
257,2,260,4,259,770
258,258,514,33,545,259
771,258,2,289,33,33
770,3,4,516,259,771
770,258,33,545,545,514
800,513,2,545,801,515
770,770,33,33,33,259
770,514,33,801,801,514
32,288,289,514,545,770
800,769,2,289,289,259
259,514,33,801,33,259
2,770,289,33,545,771
515,2,2,33,33,3
259,770,514,545,33,770
544,544,545,33,801,258
32,769,33,545,33,515
3,2,289,2,289,770
32,513,289,289,33,2
544,32,289,545,33,515
514,514,33,2,545,259
515,2,258,545,801,771
515,770,545,33,545,3
771,514,770,33,33,770
800,1,545,514,801,2
544,288,545,545,289,258
32,544,801,545,33,289
769,515,772,260,3,771
769,1,4,545,259,516
771,2,514,33,801,259
771,514,33,801,545,515
3,514,770,33,545,771
514,2,801,33,33,771
770,769,2,258,289,515
515,2,33,33,33,4
800,2,771,2,545,515
3,2,801,33,33,771
515,769,258,545,801,3
3,514,770,801,545,3
515,2,513,288,544,2
259,770,544,32,288,2
770,514,257,544,288,2
32,1,771,544,1,770
771,769,257,1,800,770
2,770,1,544,288,2
770,258,513,800,800,2
771,258,769,544,32,2
3,2,769,1,288,258
514,2,800,32,800,2
769,513,3,513,513,257
800,257,800,288,800,800
1,770,3,771,514,770
771,770,544,32,288,1
544,288,288,32,800,770
259,770,257,800,800,32
257,3,3,771,2,800
259,771,3,515,259,770
513,1,3,288,513,3
3,770,288,800,32,800
770,258,515,771,2,770
800,544,769,32,288,258
544,544,769,769,800,258
258,514,288,32,800,770
771,770,32,800,288,514
258,2,800,288,544,257
800,32,800,288,544,514
771,2,288,544,544,513
32,32,288,288,800,1
288,800,288,800,288,770
259,258,288,32,32,514
800,2,257,800,544,1
800,513,288,288,544,513
544,513,800,544,288,514
514,2,257,257,288,1
544,544,32,288,544,257
800,32,288,32,32,2
515,2,513,544,288,514
515,514,288,32,800,770
259,770,32,32,800,770
514,258,800,32,32,2
514,514,800,544,288,770
515,770,769,257,32,770
515,770,257,32,544,258
3,514,513,288,544,288
770,3,771,515,770,770
1,258,515,544,513,513
544,288,513,288,32,258
769,1,3,769,2,2
3,258,544,800,544,2
770,514,288,544,32,770
514,2,32,288,544,514
514,258,32,544,288,514
3,769,257,769,544,770
514,770,257,32,288,3
259,770,32,288,544,769
288,288,1,513,544,2
3,770,769,32,800,770
514,1,257,544,800,800
770,259,3,515,770,770
515,514,32,800,544,258
3,2,257,32,32,514
3,770,1,513,800,258
3,2,544,544,800,32
769,2,3,3,514,770
259,514,513,288,544,514
770,258,769,769,800,515
771,514,769,769,800,770
3,2,800,288,288,544
2,515,3,771,770,770
3,258,32,800,800,257
544,288,800,288,800,770
2,258,288,544,32,3
3,258,513,544,288,2
259,770,544,1,288,769
544,800,1,2,544,769
544,1,1,800,288,1
32,544,32,800,544,2
2,770,544,288,544,513
544,32,544,513,800,515
771,514,544,32,288,770
259,258,800,544,544,514
515,770,32,800,544,2
257,769,771,513,2,770
515,258,513,800,800,771
515,770,800,288,544,771
771,770,769,32,800,544
513,258,3,259,2,770
3,770,257,32,544,514
258,2,32,288,32,258
771,770,769,544,800,258
771,770,769,288,32,771
515,770,513,32,288,288
2,771,3,515,258,770
3,2,769,32,288,2
771,770,800,800,800,514
770,514,769,769,32,1
514,770,769,288,32,258
3,514,288,32,544,513
32,288,288,288,800,514
3,770,257,32,800,257
544,32,32,32,800,513
800,513,1,544,288,257
800,544,544,288,544,2
771,770,32,800,288,32
257,515,515,3,514,770
515,770,769,32,544,514
514,514,32,800,32,514
513,513,3,769,257,770
514,514,544,32,544,258
3,770,800,32,32,2
2,770,544,288,288,32
769,258,515,259,258,771
515,770,257,32,544,514
257,1,771,769,770,514
515,258,544,544,32,257
800,769,288,288,800,258
3,514,544,544,288,257
800,769,513,544,800,32
257,770,771,3,2,769
32,288,288,288,32,2
513,257,515,800,769,513
288,769,1,258,288,513
800,257,513,32,288,257
800,800,288,288,544,258
769,769,515,32,3,32
513,515,771,515,2,800
1,770,771,771,2,770
259,770,33,801,289,2
32,769,2,33,33,258
32,544,545,801,545,515
771,770,3,259,801,515
257,769,516,289,771,3
515,514,33,545,289,3
515,770,545,289,545,289
257,770,772,260,3,770
288,800,289,289,33,770
800,288,2,289,801,515
259,2,33,33,545,515
770,770,258,801,33,771
515,514,545,801,33,258
800,32,770,801,545,514
544,257,289,33,289,3
3,258,2,545,801,515
514,2,289,33,33,516
3,514,770,33,33,770
800,32,801,801,289,514
544,800,289,33,33,259
771,514,258,545,33,514
32,800,289,33,289,3
3,2,289,289,545,545
769,515,260,260,259,771
2,770,801,33,545,2
544,800,33,289,33,3
3,770,258,801,289,515
2,258,289,33,289,3
259,258,33,289,33,770
288,32,33,33,801,515
2,769,33,258,33,258
288,800,801,801,289,259
514,258,33,801,289,515
3,258,33,33,545,3
2,258,33,33,801,515
258,514,801,545,801,259
513,769,772,770,2,259
515,2,33,33,289,260
3,770,770,545,545,771
2,769,258,770,33,771
259,770,545,801,545,515
3,770,258,2,33,3
771,514,289,2,801,260
515,770,2,33,545,259
3,2,545,33,545,801
258,259,260,4,3,771
1,257,516,33,515,3
3,770,259,258,801,770
800,544,289,801,545,2
544,800,801,545,33,514
544,288,545,289,33,545
513,771,260,260,3,770
288,513,33,801,545,258
800,288,801,289,33,801
257,2,4,260,259,771
515,258,801,289,801,771
770,2,33,289,33,259
259,770,545,289,33,3
771,770,514,545,33,515
770,514,545,545,33,2
288,32,2,289,33,3
259,2,514,289,33,770
544,1,33,33,33,771
771,258,514,514,545,771
258,514,770,801,801,771
258,258,2,801,545,289
771,515,772,772,772,770
288,288,801,259,289,515
514,770,545,33,801,259
259,770,545,33,801,771
3,514,801,801,289,3
257,288,260,801,515,770
513,771,516,771,514,771
259,769,514,770,801,258
544,257,4,545,3,515
515,770,801,289,545,771
515,770,33,771,801,771
2,2,2,33,33,3
3,514,801,545,289,801
769,515,4,260,515,771
259,770,514,545,289,771
515,258,289,33,289,3
3,2,289,545,545,770
32,32,33,289,801,771
3,258,545,2,33,33
769,515,260,4,515,770
544,288,289,801,545,259
3,258,258,801,33,4
259,770,33,33,33,3
514,770,801,545,289,514
288,769,289,289,289,515
515,258,514,33,33,260
259,770,258,289,33,801
513,771,516,772,259,771
259,770,545,545,289,259
770,770,2,289,33,259
259,2,289,289,545,515
544,2,3,33,545,2
288,32,770,801,33,259
771,769,770,514,33,515
1,257,516,514,3,2
544,288,770,801,801,516
3,770,33,289,545,289
1,514,516,772,515,771
259,2,545,289,33,771
1,1,260,33,770,771
3,258,33,289,289,515
514,2,801,545,545,771
1,513,260,33,3,515
514,2,33,33,289,801
258,771,516,772,3,770
288,544,289,801,545,3
515,2,289,289,289,2
288,1,33,801,801,259
771,770,2,545,801,259
259,770,801,801,801,770
800,32,289,801,289,771
515,770,801,289,289,259
771,770,770,545,289,771
258,514,514,289,289,289
257,2,4,772,3,771
259,258,770,289,33,259
771,769,258,258,801,258
288,544,545,33,801,33
2,771,772,772,259,771
259,514,33,545,801,515
3,770,2,545,545,515
771,514,514,545,33,770
32,288,1,32,32,769
32,1,288,544,32,258
513,800,771,800,2,770
515,2,544,800,800,1
32,514,800,544,544,769
800,32,800,288,288,1
800,544,32,32,544,258
771,258,32,769,32,770
259,514,544,32,32,259
771,770,800,800,32,513
32,288,288,32,544,769
544,769,32,800,544,770
1,769,771,32,513,258
259,770,800,288,32,770
3,2,257,288,288,769
544,800,288,800,288,258
3,770,513,800,544,514
2,258,288,288,544,258
259,2,1,32,544,258
544,288,257,800,32,544
257,3,3,771,2,770
3,770,513,800,288,514
259,770,1,800,288,514
515,514,544,32,32,258
514,258,257,800,800,258
515,514,800,288,32,259
515,770,32,800,288,258
257,513,771,544,2,257
544,544,257,544,288,514
259,514,800,1,288,544
513,259,3,3,258,770
3,770,513,800,32,2
514,514,544,32,288,257
288,800,32,32,800,288
769,514,515,259,258,769
32,288,769,544,544,2
771,514,257,32,544,514
3,2,544,32,288,769
800,513,288,32,288,258
771,770,800,288,800,258
515,770,32,800,288,2
2,770,544,32,544,769
800,32,257,544,32,800
258,258,771,515,514,770
2,770,288,544,544,513
288,800,800,288,32,513
544,257,257,32,32,258
514,514,32,32,32,1
800,544,1,544,544,2
515,770,288,288,288,769
544,288,544,32,800,257
288,544,257,32,544,770
2,770,32,544,288,770
3,2,32,288,288,2
514,514,1,544,544,258
3,2,544,32,544,770
259,258,544,32,288,288
514,259,771,259,770,769
544,32,800,544,288,3
771,770,544,32,32,800
257,771,515,3,514,770
259,514,800,800,800,257
288,32,800,544,32,513
288,288,257,800,288,770
3,2,1,32,544,514
259,514,769,32,544,258
800,513,259,544,2,515
259,770,32,2,288,1
288,513,513,32,288,514
514,2,800,544,32,258
3,2,32,800,288,770
259,514,544,32,800,513
288,32,32,770,544,514
771,770,257,288,800,770
515,2,32,32,288,2
3,513,1,513,288,770
3,770,288,800,544,514
259,258,1,800,800,514
769,769,259,513,515,32
257,515,3,259,258,770
259,770,1,513,800,258
515,258,544,800,288,770
259,770,1,544,544,258
259,770,513,288,288,258
514,770,544,288,800,800
514,3,771,3,770,800
1,2,515,771,2,770
257,32,3,32,2,258
514,514,544,544,544,1
800,32,513,800,32,770
3,514,32,544,32,544
257,770,515,3,770,770
3,770,1,800,288,2
515,770,513,800,32,288
257,514,515,259,770,770
257,1,259,32,770,257
32,288,544,544,544,514
515,258,257,544,32,257
800,800,32,32,800,257
544,769,32,513,544,2
771,770,513,800,32,258
515,770,513,257,800,544
2,258,515,771,770,770
771,514,288,1,32,2
259,258,800,769,544,2
770,2,32,800,800,288
769,259,3,3,770,770
771,770,32,1,800,258
770,2,513,288,800,513
32,800,288,800,288,258
771,770,1,288,288,770
771,514,800,1,544,770
3,770,513,32,544,513
544,288,1,288,544,1
800,288,800,32,32,514
771,258,513,288,800,544
769,514,771,515,2,769
544,800,257,288,800,770
771,770,32,32,544,514
771,770,544,32,544,770
771,770,1,288,32,800
513,258,515,259,2,769
800,32,513,544,32,258
1,257,515,800,2,258
771,770,257,769,288,32
257,3,3,259,514,769
544,1,288,544,288,258
515,2,769,800,32,1
32,769,545,33,33,259
259,2,514,801,545,3
3,770,258,514,33,3
259,770,770,289,289,771
3,1,801,514,801,771
259,2,801,545,545,4
259,514,770,289,33,771
3,514,514,545,545,259
259,514,514,545,289,771
515,258,801,289,801,771
514,770,801,33,289,771
513,513,258,33,545,515
3,514,545,2,545,771
32,288,514,33,289,771
771,769,258,258,801,771
288,544,3,289,289,3
3,770,770,289,289,515
515,770,33,289,801,3
2,514,2,289,545,770
32,800,2,545,33,772
515,514,258,801,33,2
32,32,2,545,33,514
800,288,289,801,33,770
544,769,801,545,545,2
800,288,2,33,801,770
544,288,258,289,289,258
32,544,33,801,545,771
3,770,2,770,801,771
515,2,514,770,289,258
544,800,770,2,33,2
544,544,258,801,33,515
514,514,289,515,289,2
800,800,545,289,801,2
32,32,33,289,33,259
771,2,33,258,545,259
3,770,545,2,289,259
515,258,545,545,801,770
544,288,33,33,801,771
515,770,258,2,33,515
770,770,545,33,33,771
771,258,2,289,545,801
258,259,260,4,516,770
32,513,770,545,289,545
513,514,772,4,3,770
288,32,258,545,289,259
3,258,514,289,33,515
544,32,33,289,545,2
32,257,770,258,33,3
32,769,516,514,771,771
514,2,545,545,33,3
514,2,801,545,545,259
259,2,770,33,545,771
513,769,4,801,258,3
770,770,770,545,289,259
2,514,33,33,801,289
2,2,772,516,259,771
2,2,801,289,289,770
544,800,33,33,289,771
259,258,801,801,289,772
259,770,770,289,33,258
32,800,545,801,289,259
257,513,516,289,772,259
515,770,258,33,33,259
769,257,4,289,514,515
771,2,514,289,289,545
514,771,772,772,3,801
2,544,801,33,289,259
3,770,514,801,801,515
3,258,33,33,289,771
770,770,545,289,33,259
2,770,770,801,801,801
1,515,516,772,259,771
259,770,289,545,801,258
32,288,545,33,545,771
800,769,4,801,772,3
259,770,289,33,801,771
771,2,545,801,289,259
258,258,770,545,545,259
771,770,801,289,289,2
544,513,514,258,289,4
515,770,801,33,289,515
3,257,801,2,289,259
515,258,33,801,289,771
259,2,258,545,545,515
770,514,258,289,33,259
259,258,545,33,545,771
771,770,289,801,33,771
515,258,289,289,289,33
257,258,772,260,771,770
32,288,545,289,545,514
288,513,289,514,801,259
2,258,770,33,545,259
513,513,516,2,3,3
3,770,770,801,545,259
515,770,545,801,289,259
259,769,514,770,33,545
770,515,516,516,771,771
3,770,2,289,545,771
259,514,770,289,545,515
3,770,2,514,33,771
515,770,514,801,289,515
771,770,258,33,33,258
800,1,545,33,545,515
2,770,770,545,289,259
515,258,258,801,289,259
769,1,516,770,4,771
259,514,801,33,801,771
259,258,289,289,33,3
515,514,258,545,33,514
32,770,801,801,801,515
3,514,2,289,801,771
513,769,4,545,514,2
32,288,801,33,33,771
769,1,516,545,516,3
3,514,258,33,289,516
515,2,33,289,545,258
288,1,33,33,33,2
800,800,33,2,33,771
257,769,260,289,258,259
515,770,33,545,33,801
513,3,4,4,3,770
544,257,289,258,801,259
259,258,33,514,545,770
32,544,514,2,289,3
515,770,289,33,33,258
800,769,33,33,289,3
288,513,4,545,772,515
259,770,770,801,545,3
2,258,800,32,288,2
800,288,288,288,288,32
1,771,771,3,514,770
259,770,288,32,544,769
800,800,513,32,800,770
258,258,288,288,544,769
32,513,544,800,32,514
259,770,800,32,288,2
3,770,257,288,32,257
544,769,800,544,544,2
2,2,513,288,544,515
771,515,771,3,515,769
288,1,800,288,288,770
771,770,769,288,32,2
771,770,1,257,800,770
3,770,32,544,32,771
3,770,288,32,544,513
32,32,1,32,32,770
771,2,32,544,32,513
544,288,513,800,32,1
544,544,288,32,32,258
259,514,800,288,544,769
800,288,288,32,800,258
3,770,769,257,544,544
770,32,544,1,544,514
259,514,1,32,800,770
771,770,32,544,544,514
514,258,32,544,32,2
515,258,288,32,32,770
